	Mass	       Radius	   Mag Field	 Alpha_BL	Mdot		Epsilon		GammaPhi	Delta	   Deltanu/1000	      Nu1	   DNu/Nu1	  Delta*R_in	R_in/R_ISCO    R_in/R_*
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.92009E-02    5.20194E-02    1.80540E-01    1.20998E-01    3.02845E-01    6.92157E-01    4.37538E-01    3.20560E-01    5.95794E+00    2.40845E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.92009E-02    5.08699E-02    1.74659E-01    1.18324E-01    3.09987E-01    6.95098E-01    4.45962E-01    3.13476E-01    5.95794E+00    2.40845E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.92009E-02    5.04594E-02    1.66479E-01    1.17370E-01    3.19921E-01    6.85294E-01    4.66838E-01    3.10947E-01    5.95794E+00    2.40845E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.92009E-02    5.35331E-02    1.81212E-01    1.24519E-01    3.02030E-01    6.77451E-01    4.45833E-01    3.29888E-01    5.95794E+00    2.40845E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.95173E-02    5.35279E-02    1.74373E-01    1.24507E-01    3.11189E-01    6.68627E-01    4.65415E-01    3.29252E-01    5.94704E+00    2.40404E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    4.98337E-02    5.22789E-02    1.73189E-01    1.21602E-01    3.13485E-01    6.81373E-01    4.60078E-01    3.20985E-01    5.93622E+00    2.39967E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.15407E-02    5.61506E-02    2.23519E-01    1.30608E-01    2.75882E-01    7.68627E-01    3.58928E-01    3.24586E-01    5.58891E+00    2.25928E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.15407E-02    5.66308E-02    2.35272E-01    1.31724E-01    2.60173E-01    7.71569E-01    3.37200E-01    3.27362E-01    5.58891E+00    2.25928E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.18568E-02    5.68293E-02    2.25620E-01    1.32186E-01    2.73674E-01    7.64706E-01    3.57881E-01    3.28029E-01    5.58074E+00    2.25597E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.18568E-02    5.62464E-02    2.29185E-01    1.30830E-01    2.68899E-01    7.73529E-01    3.47626E-01    3.24664E-01    5.58074E+00    2.25597E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.18568E-02    5.58188E-02    2.28182E-01    1.29836E-01    2.70242E-01    7.77451E-01    3.47600E-01    3.22196E-01    5.58074E+00    2.25597E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.21734E-02    5.55555E-02    2.25953E-01    1.29223E-01    2.73826E-01    7.80392E-01    3.50883E-01    3.20209E-01    5.57260E+00    2.25268E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.21734E-02    5.53219E-02    2.43406E-01    1.28680E-01    2.50396E-01    7.93137E-01    3.15703E-01    3.18862E-01    5.57260E+00    2.25268E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.24900E-02    5.58057E-02    2.34797E-01    1.29805E-01    2.62524E-01    7.85294E-01    3.34300E-01    3.21184E-01    5.56452E+00    2.24942E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.24900E-02    5.51724E-02    2.29961E-01    1.28332E-01    2.69031E-01    7.89216E-01    3.40884E-01    3.17540E-01    5.56452E+00    2.24942E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.24900E-02    5.64608E-02    2.20311E-01    1.31329E-01    2.82014E-01    7.67647E-01    3.67375E-01    3.24955E-01    5.56452E+00    2.24942E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.28061E-02    5.53586E-02    2.43154E-01    1.28765E-01    2.51824E-01    7.96078E-01    3.16331E-01    3.18152E-01    5.55651E+00    2.24618E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.28061E-02    5.75767E-02    2.39543E-01    1.33925E-01    2.56694E-01    7.70588E-01    3.33114E-01    3.30900E-01    5.55651E+00    2.24618E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.31227E-02    5.68515E-02    2.33311E-01    1.32238E-01    2.65668E-01    7.76471E-01    3.42148E-01    3.26263E-01    5.54853E+00    2.24295E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.31227E-02    5.53700E-02    2.46764E-01    1.28792E-01    2.47490E-01    7.99020E-01    3.09742E-01    3.17761E-01    5.54853E+00    2.24295E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.31227E-02    5.65801E-02    2.24951E-01    1.31606E-01    2.76965E-01    7.73529E-01    3.58054E-01    3.24705E-01    5.54853E+00    2.24295E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    6.31227E-02    5.55636E-02    2.36198E-01    1.29242E-01    2.61767E-01    7.92157E-01    3.30448E-01    3.18872E-01    5.54853E+00    2.24295E+00
